specno	time	lat	long	relaz	sza	no2zendscd	no2offdscd	o4zen	o4off	rmszen	amf120	amf180	sig120	sig180	RAMF	RGA	VCBira	VCWagAMF	VCWagGA	errTot
20 	1.341972e+01 	5.079520e+01 	4.304664e+00 	1.145305e+02 	5.380956e+01 	-8833900000000000 	-4104237260135965 	2.187900e+41 	1.306479e+43 	4.121800e-04 	2.805821e+00 	1.401862e+00 	2.365528e-01 	1.375215e-01 	13910090515836984 	13019820767012744 	3565157235522207 	3621033776663058 	4185920767012744 	6.822038e+14 
21 	1.342833e+01 	5.080045e+01 	4.307324e+00 	1.633572e+02 	5.386142e+01 	-9476200000000000 	-5153001229827113 	6.386200e+40 	1.279354e+43 	4.110300e-04 	2.796349e+00 	1.402417e+00 	2.370920e-01 	1.377080e-01 	13885586621633504 	12992070414819816 	3061264937140961 	3144133267342879 	3515870414819816 	686811463616134 
22 	1.343694e+01 	5.080562e+01 	4.303965e+00 	1.231313e+02 	5.391041e+01 	-10179000000000000 	-5600091814535094 	-2.705200e+41 	1.236956e+43 	4.036400e-04 	2.748408e+00 	1.402941e+00 	2.204097e-01 	1.378840e-01 	13861082727430024 	12964320062626888 	2514837563191997 	2624544886408810 	2785320062626888 	6.897288e+14 
23 	1.344556e+01 	5.081108e+01 	4.298033e+00 	1.108522e+02 	5.395829e+01 	-9225900000000000 	-5617621441930132 	2.391700e+41 	1.082833e+43 	3.890300e-04 	2.851303e+00 	1.403454e+00 	2.496342e-01 	1.380561e-01 	13836575987576312 	12936566487770832 	3.164800e+15 	3.285235e+15 	3710666487770832 	6.613762e+14 
24 	1.345417e+01 	5.081491e+01 	4.289102e+00 	8.936411e+01 	5.400497e+01 	-9094600000000000 	-5558807026762578 	1.048600e+41 	1.223015e+43 	3.819700e-04 	3.087652e+00 	1.403953e+00 	3.172642e-01 	1.382239e-01 	13812072093372832 	12908816135577904 	3.248085e+15 	3.360135e+15 	3814216135577904 	6.525950e+14 
25 	1.346278e+01 	5.082092e+01 	4.282675e+00 	1.109797e+02 	5.405509e+01 	-9680900000000000 	-5113781319931715 	1.908500e+41 	1.332570e+43 	3.931300e-04 	2.850986e+00 	1.404489e+00 	2.496161e-01 	1.384040e-01 	13787568199169352 	12881065783384976 	2829687881287074 	2.923958e+15 	3200165783384976 	670088301706458 
26 	1.347139e+01 	5.082726e+01 	4.280349e+00 	1.318425e+02 	5.410562e+01 	-8792800000000000 	-2923534003660997 	-1.981100e+41 	1.277997e+43 	3.872800e-04 	2.767694e+00 	1.405030e+00 	2.265540e-01 	1.385856e-01 	13763064304965872 	12853315431192048 	3453192116281594 	3537478902477382 	4060515431192048 	6.532391e+14 
27 	1.348000e+01 	5.083379e+01 	4.281917e+00 	1.533707e+02 	5.415796e+01 	-10107000000000000 	-3724168593161755 	2.427400e+41 	1.271242e+43 	4.008900e-04 	2.802738e+00 	1.405590e+00 	2.381470e-01 	1.387737e-01 	13738560410762392 	12825565078999120 	2498637393177627 	2583655277615739 	2718565078999120 	6.830536e+14 
28 	1.348861e+01 	5.083999e+01 	4.283326e+00 	1.527550e+02 	5.421172e+01 	-8715900000000000 	-2.795519e+15 	5.926800e+40 	1.274275e+43 	4.028800e-04 	2.802993e+00 	1.406165e+00 	2.381990e-01 	1.389669e-01 	13714056516558912 	12797814726806192 	3488622124404169 	3.554459e+15 	4081914726806192 	6.662440e+14 
29 	1.349722e+01 	5.084606e+01 	4.280171e+00 	1.262940e+02 	5.426247e+01 	-7725800000000000 	-4111244279053938 	4.648400e+41 	1.214715e+43 	3.877600e-04 	2.756821e+00 	1.406708e+00 	2.231353e-01 	1.391493e-01 	13689552622355432 	12770064374613264 	4.200484e+15 	4239508602722111 	5044264374613264 	6.474679e+14 
30 	1.350583e+01 	5.085256e+01 	4.274672e+00 	1.161877e+02 	5.431372e+01 	-8822200000000000 	-5525565105297858 	-1.873700e+41 	1.361834e+43 	3.862600e-04 	2.790804e+00 	1.407257e+00 	2.325049e-01 	1.393335e-01 	13665048728151952 	12742314022420336 	3402170045983046 	3441339793031095 	3920114022420336 	6.506561e+14 
31 	1.351444e+01 	5.086028e+01 	4.271321e+00 	1.288607e+02 	5.436610e+01 	-10722000000000000 	-5568275701166784 	4.613200e+41 	1.302437e+43 	3.834700e-04 	2.762403e+00 	1.407817e+00 	2.249478e-01 	1.395218e-01 	13640544833948472 	12714563670227416 	2.037308e+15 	2.073099e+15 	1992563670227416 	6.782154e+14 
32 	1.352306e+01 	5.086850e+01 	4.270027e+00 	1.383529e+02 	5.442056e+01 	-11060000000000000 	-5107900853026740 	3.695000e+41 	1.276646e+43 	3.882800e-04 	2.781328e+00 	1.408400e+00 	2.310557e-01 	1.397175e-01 	13616038094094752 	12686810095371352 	1.760513e+15 	1.814852e+15 	1626810095371352 	6.897220e+14 
33 	1.353167e+01 	5.087571e+01 	4.273971e+00 	1.629281e+02 	5.447590e+01 	-9909500000000000 	-5260726395648782 	2.707800e+41 	1.295443e+43 	4.005900e-04 	2.793732e+00 	1.408992e+00 	2.367859e-01 	1.399164e-01 	13591534199891272 	12659059743178424 	2.570593e+15 	2.613240e+15 	2749559743178424 	6.765536e+14 
